Right Ascension,Declination,Gaia ID,unWISE ID,Parallax,Parallax Error,Proper Motion - Right Ascension,Proper Motion - Right Ascension Error,Proper Motion - Declination,Proper Motion - Declination Error,Parallax Significance,Proper Motion Significance,Galactic E(B-V) Reddening,Number of Observations for G-Band Photometry,Gaia G-Band Mean Magnitude,Gaia BP-Band Mean Magnitude,Gaia RP-Band Mean Magnitude,unWISE W1 Band Magnitude,unWISE W2 Band Magnitude,BP-G Color,BP-RP Color,G-RP Color,G-W1 Color,Gaia-unWISE Separation,W1-W2 Color,G-Band Variation,BP/RP Excess Factor,Astronomic Excess Noise,Goodness-of-fit,"Gaia Sources Within 1"" Radius","Gaia Sources Within 2"" Radius","Gaia Sources Within 4"" Radius",Gaia Sources Within 8' Radius,"Gaia Sources Within 16"" Radius","Gaia Sources Within 32"" Radius",Photometric Redshift Predicted,AGN Probability,Number of Sectors
113.6259468,-58.45898851,5293865329139910784,b'1123m591o0038527',-0.090411836,0.142306127,0.58814437,0.349053071,-0.325820921,0.313682894,0.635333406,1.979397806,0.193709999,207,17.9566155,18.02464042,17.65666606,14.49104404,13.13571739,0.068024916,0.367974357,0.299949441,3.465571459,0.042286661,1.355326653,0.041861394,1.230370045,0,0.156016007,1,1,1,1,1,4,1.15403929,1,7
93.76092178,-53.18793532,5500888353443963392,b'0936m531o0015301',-0.025460427,0.140155132,-0.350258904,0.300532979,0.15269735,0.292735512,0.181658899,1.276865198,0.077505998,209,17.95752807,18.05788401,17.57582413,15.16004944,14.2741003,0.100355947,0.482059853,0.381703936,2.797478629,0.052496675,0.885949135,0.033778261,1.266659975,0,1.072119951,1,1,1,1,1,4,2.261038831,1,7
92.09230155,-52.83708926,5548666050680528768,b'0912m531o0023776',-0.040468108,0.126031005,0.028592266,0.270087882,-0.910237689,0.341313408,0.32109645,2.668967977,0.069622003,194,17.96594092,18.07335395,17.59773643,15.11471558,13.80532742,0.10741303,0.475617548,0.368204488,2.851225343,0.112648865,1.309388161,0.073377363,1.255310059,0.121756152,1.375219941,1,1,1,1,1,3,1.717552137,1,7
118.2431226,-77.07199023,5213094071091083136,b'1157m773o0025238',-0.146098189,0.154773661,-0.389743521,0.25391895,0.043175462,0.35510185,0.943947362,1.539721203,0.172092006,201,17.98493213,18.07176459,17.60517418,15.39595795,14.43823338,0.086832454,0.466590408,0.379757954,2.588974187,0.131997629,0.957724571,0.070271196,1.268759966,0,-1.431380033,1,1,1,1,1,2,2.267435798,1,7
88.00232434,-53.21207317,4792122374833090560,b'0887m531o0013703',0.000444917,0.028969487,-0.016879794,0.056834735,0.029063245,0.06470233,0.015358132,0.538492248,0.079957999,196,15.28299266,15.45200992,14.8796661,12.04356384,10.6698885,0.16901726,0.572343824,0.403326564,3.239428818,0.070325994,1.373675346,0.014194319,1.240679979,0,-0.131632999,1,1,1,1,1,3,1.401408095,1,6
123.4418046,-76.7601023,5210440227979225216,b'1221m773o0035568',-0.063884589,0.048622139,0.200159163,0.08492099,0.009400228,0.102845535,1.313899209,2.35877613,0.113771997,228,16.16396893,16.28342558,15.75545755,13.23535156,12.13798904,0.119456646,0.527968004,0.408511388,2.928617371,0.095273033,1.097362518,0.023131569,1.270009995,0.189198151,3.334009886,1,1,1,1,3,7,1.621451725,0.99,6
126.31686,-69.10700455,5270020460985205248,b'1255m697o0038652',-0.046265622,0.063526094,-0.045794068,0.120720054,0.150153737,0.122748638,0.728293194,1.280730018,0.168511003,253,16.44397739,16.40180873,16.19974285,12.36327648,11.2503109,-0.042168657,0.202066281,0.244234543,4.080700909,0.121627801,1.112965584,0.097099174,1.265490055,0.333582325,4.759079933,1,1,1,1,2,5,0.513384148,1,6
127.302963,-73.72319892,5219909256476297728,b'1270m743o0037032',0.027535491,0.054380868,0.095766,0.111635747,0.021324267,0.115989013,0.506345194,0.877322803,0.136965007,236,16.45395476,16.60672887,16.01357118,13.38388824,12.30674362,0.152774114,0.593157692,0.440383577,3.070066512,0.0723009,1.077144623,0.019363517,1.271630049,0,-0.481510997,1,1,1,2,2,8,1.607881015,1,6
127.4515543,-70.32522571,5221860034920378624,b'1255m697o0003105',-0.09858658,0.050313988,-0.023751838,0.094157672,-0.070173538,0.109766907,1.959426872,0.687264426,0.115929,237,16.47432106,16.45394789,16.03663288,11.93482876,10.9810648,-0.020373168,0.417315528,0.437688175,4.539492299,0.057946043,0.953763962,0.090991031,1.370980024,0,-0.151419997,1,1,1,1,4,6,0.240079975,1,6
130.3626486,-75.67440929,5216426317174691200,b'1277m758o0023498',0.002582504,0.050646239,0.108088442,0.098036163,0.072903225,0.108218433,0.050991024,1.292058168,0.111487001,245,16.56866053,16.54255013,16.28805553,13.00700569,12.10535431,-0.026110399,0.254494512,0.280605,3.561654842,0.198278335,0.901651382,0.132651241,1.282960057,0,1.152609944,1,1,1,1,2,7,0.563163691,0.99,6
